Q,theta,filename,energy,ncas,nelecas,Ni_spin,total_S_spin,S_Ni_ratio,Ni_fraction,S_fraction,g_xx,g_yy,g_zz,g_iso,g_anisotropy,g_min,g_max,occupation_mean,occupation_std,occupation_max,occupation_min,singly_occupied_count,strongly_occupied_count,weakly_occupied_count,multi_ref_character,effective_unpaired_electrons,orbital_entropy,Ni_spin_population,total_S_spin_population,total_spin,unpaired_electrons
-0.300000,0.000000,point_Q-0.300_theta0.000.pkl,-3614.523085,11,11,-0.001333,1.093131,-820.054556,-0.001221,1.001221,1.999089,1.999089,2.009089,2.002422,0.010000,1.999089,2.009089,1.013513,0.905554,2.193203,0.019135,1,5,5,0.179790,1.977688,-0.991573,-0.001333,1.093131,1.091798,1.977688
-0.300000,0.000000,point_Q-0.300_theta0.000old.pkl,-3614.617935,11,11,0.002448,1.194789,488.052278,0.002045,0.997955,1.999171,1.999171,2.009171,2.002504,0.010000,1.999171,2.009171,1.009927,0.875098,2.091746,0.018012,1,5,5,0.234104,2.575149,-0.937555,0.002448,1.194789,1.197238,2.575149
-0.300000,5.000000,point_Q-0.300_theta5.000.pkl,-3614.558034,11,11,0.003001,1.196914,398.871353,0.002501,0.997499,1.999217,1.999217,2.009217,2.002550,0.010000,1.999217,2.009217,1.009342,0.873611,2.074688,0.018680,1,5,5,0.236716,2.603881,-0.938884,0.003001,1.196914,1.199915,2.603881
-0.300000,7.500000,point_Q-0.300_theta7.500.pkl,-3614.555203,11,11,0.010304,1.154807,112.069075,0.008844,0.991156,1.999851,1.999851,2.009851,2.003184,0.010000,1.999851,2.009851,1.010157,0.863328,2.097135,0.047411,1,5,5,0.254561,2.800173,-0.898116,0.010304,1.154807,1.165111,2.800173
-0.300000,7.500000,point_Q-0.300_theta7.500old.pkl,-3614.654816,11,11,0.001006,1.153234,1146.113692,0.000872,0.999128,1.999054,1.999054,2.009054,2.002387,0.010000,1.999054,2.009054,1.005562,0.851379,2.019431,0.045813,1,5,5,0.275123,3.026348,-0.887643,0.001006,1.153234,1.154240,3.026348
-0.300000,10.000000,point_Q-0.300_theta10.000.pkl,-3614.595265,11,11,0.010543,1.136083,107.761558,0.009194,0.990806,1.999886,1.999886,2.009886,2.003219,0.010000,1.999886,2.009886,1.009246,0.858192,2.069359,0.044999,1,5,5,0.263420,2.897625,-0.891421,0.010543,1.136083,1.146626,2.897625
-0.300000,15.000000,point_Q-0.300_theta15.000.pkl,-3614.579080,11,11,0.000158,1.147119,7245.398511,0.000138,0.999862,1.998980,1.998980,2.008980,2.002314,0.010000,1.998980,2.008980,1.007895,0.858106,2.052095,0.034030,1,5,5,0.263592,2.899515,-0.897548,0.000158,1.147119,1.147278,2.899515
-0.300000,15.000000,point_Q-0.300_theta15.000old.pkl,-3614.554300,11,11,0.014984,1.150458,76.780843,0.012857,0.987143,2.000252,2.000252,2.010252,2.003586,0.010000,2.000252,2.010252,1.004541,0.885334,2.036776,0.017828,1,5,5,0.216163,2.377788,-0.984611,0.014984,1.150458,1.165441,2.377788
-0.300000,20.000000,point_Q-0.300_theta20.000.pkl,-3614.482687,11,11,0.016412,1.126265,68.623332,0.014363,0.985637,2.000403,2.000403,2.010403,2.003736,0.010000,2.000403,2.010403,1.008261,0.891517,2.099227,0.017278,1,5,5,0.205129,2.256424,-0.981138,0.016412,1.126265,1.142678,2.256424
-0.300000,22.500000,point_Q-0.300_theta22.500.pkl,-3614.464392,11,11,0.012641,1.127500,89.194808,0.011087,0.988913,2.000075,2.000075,2.010075,2.003409,0.010000,2.000075,2.010075,1.007990,0.890649,2.095377,0.017248,1,5,5,0.206680,2.273478,-0.979909,0.012641,1.127500,1.140141,2.273478
-0.300000,25.000000,point_Q-0.300_theta25.000.pkl,-3614.442065,11,11,0.011073,1.126273,101.711245,0.009736,0.990264,1.999940,1.999940,2.009940,2.003274,0.010000,1.999940,2.009940,1.008243,0.890914,2.096640,0.017178,1,5,5,0.206205,2.268254,-0.980472,0.011073,1.126273,1.137347,2.268254
-0.300000,30.000000,point_Q-0.300_theta30.000.pkl,-3614.382851,11,11,0.010404,1.128785,108.490485,0.009133,0.990867,1.999880,1.999880,2.009880,2.003213,0.010000,1.999880,2.009880,1.008036,0.890172,2.086461,0.016894,1,5,5,0.207529,2.282816,-0.982175,0.010404,1.128785,1.139190,2.282816
-0.200000,0.000000,point_Q-0.200_theta0.000.pkl,-3614.547697,11,11,0.000156,1.188769,7622.148783,0.000131,0.999869,1.998980,1.998980,2.008980,2.002313,0.010000,1.998980,2.008980,1.009660,0.884240,2.074886,0.018603,1,5,5,0.218026,2.398282,-0.971788,0.000156,1.188769,1.188925,2.398282
-0.200000,5.000000,point_Q-0.200_theta5.000.pkl,-3614.597720,11,11,0.005388,1.187482,220.406246,0.004517,0.995483,1.999418,1.999418,2.009418,2.002752,0.010000,1.999418,2.009418,1.010032,0.875323,2.075764,0.018162,1,5,5,0.233710,2.570805,-0.943429,0.005388,1.187482,1.192870,2.570805
-0.200000,7.500000,point_Q-0.200_theta7.500.pkl,-3614.635811,11,11,0.006468,1.170265,180.944845,0.005496,0.994504,1.999516,1.999516,2.009516,2.002850,0.010000,1.999516,2.009516,1.008062,0.857718,2.046741,0.038826,1,5,5,0.264255,2.906807,-0.897581,0.006468,1.170265,1.176733,2.906807
-0.200000,10.000000,point_Q-0.200_theta10.000.pkl,-3614.608079,11,11,0.009369,1.150540,122.806779,0.008077,0.991923,1.999774,1.999774,2.009774,2.003108,0.010000,1.999774,2.009774,1.006761,0.870250,2.041097,0.005685,1,5,5,0.242620,2.668819,-0.940350,0.009369,1.150540,1.159909,2.668819
-0.200000,15.000000,point_Q-0.200_theta15.000.pkl,-3614.541361,11,11,0.002560,1.126874,440.114961,0.002267,0.997733,1.999193,1.999193,2.009193,2.002527,0.010000,1.999193,2.009193,1.008276,0.893302,2.114789,0.017538,1,5,5,0.201944,2.221383,-0.981424,0.002560,1.126874,1.129435,2.221383
-0.200000,20.000000,point_Q-0.200_theta20.000.pkl,-3614.510414,11,11,0.010199,1.121972,110.010805,0.009008,0.990992,1.999867,1.999867,2.009867,2.003201,0.010000,1.999867,2.009867,1.007840,0.890932,2.087180,0.017594,1,5,5,0.206179,2.267973,-0.983589,0.010199,1.121972,1.132171,2.267973
-0.200000,22.500000,point_Q-0.200_theta22.500.pkl,-3614.489472,11,11,0.009687,1.118593,115.478003,0.008585,0.991415,1.999825,1.999825,2.009825,2.003159,0.010000,1.999825,2.009825,1.007669,0.890463,2.087503,0.017546,1,5,5,0.207018,2.277194,-0.982297,0.009687,1.118593,1.128279,2.277194
-0.200000,30.000000,point_Q-0.200_theta30.000.pkl,-3614.398218,11,11,0.007282,1.126803,154.727507,0.006421,0.993579,1.999609,1.999609,2.009609,2.002942,0.010000,1.999609,2.009609,1.007576,0.889592,2.073902,0.017134,1,5,5,0.208569,2.294261,-0.984951,0.007282,1.126803,1.134086,2.294261
-0.100000,0.000000,point_Q-0.100_theta0.000.pkl,-3614.621398,11,11,0.000092,1.184237,12817.029966,0.000078,0.999922,1.998974,1.998974,2.008974,2.002308,0.010000,1.998974,2.008974,1.009946,0.875498,2.089098,0.017903,1,5,5,0.233405,2.567456,-0.938305,0.000092,1.184237,1.184330,2.567456
-0.100000,7.500000,point_Q-0.100_theta7.500.pkl,-3614.585229,11,11,0.002981,0.997311,334.575087,0.002980,0.997020,1.999265,1.999265,2.009265,2.002598,0.010000,1.999265,2.009265,0.995071,0.878708,1.980628,0.017788,1,5,5,0.227848,2.506328,-0.972554,0.002981,0.997311,1.000292,2.506328
-0.100000,15.000000,point_Q-0.100_theta15.000.pkl,-3614.555743,11,11,0.012164,1.112121,91.428093,0.010819,0.989181,2.000049,2.000049,2.010049,2.003382,0.010000,2.000049,2.010049,1.010688,0.898511,2.157128,0.017901,1,5,5,0.192563,2.118198,-0.984149,0.012164,1.112121,1.124285,2.118198
-0.100000,22.500000,point_Q-0.100_theta22.500.pkl,-3614.496093,11,11,0.006632,1.108809,167.184232,0.005946,0.994054,1.999561,1.999561,2.009561,2.002895,0.010000,1.999561,2.009561,1.008472,0.892787,2.101676,0.017854,1,5,5,0.202860,2.231465,-0.985786,0.006632,1.108809,1.115442,2.231465
-0.100000,30.000000,point_Q-0.100_theta30.000.pkl,-3614.394458,11,11,0.004664,1.122936,240.762572,0.004136,0.995864,1.999380,1.999380,2.009380,2.002714,0.010000,1.999380,2.009380,1.007424,0.889789,2.069337,0.017393,1,5,5,0.208221,2.290427,-0.987480,0.004664,1.122936,1.127600,2.290427
0.000000,0.000000,point_Q0.000_theta0.000.pkl,-3614.671511,11,11,0.012243,1.192639,97.414237,0.010161,0.989839,1.999983,1.999983,2.009983,2.003316,0.010000,1.999983,2.009983,1.009573,0.859494,2.070995,0.046825,1,5,5,0.261179,2.872971,-0.894345,0.012243,1.192639,1.204882,2.872971
0.000000,7.500000,point_Q0.000_theta7.500.pkl,-3614.617847,11,11,0.014068,1.179997,83.877472,0.011782,0.988218,2.000145,2.000145,2.010145,2.003478,0.010000,2.000145,2.010145,1.007930,0.871390,2.037428,0.017786,1,5,5,0.240617,2.646783,-0.943430,0.014068,1.179997,1.194065,2.646783
0.000000,15.000000,point_Q0.000_theta15.000.pkl,-3614.552193,11,11,0.006142,1.145196,186.466971,0.005334,0.994666,1.999500,1.999500,2.009500,2.002833,0.010000,1.999500,2.009500,1.003245,0.883157,2.014454,0.018295,1,5,5,0.220023,2.420258,-0.984948,0.006142,1.145196,1.151337,2.420258
0.000000,22.500000,point_Q0.000_theta22.500.pkl,-3614.484288,11,11,0.004491,1.100910,245.137598,0.004063,0.995937,1.999373,1.999373,2.009373,2.002706,0.010000,1.999373,2.009373,1.009441,0.895572,2.136862,0.018177,1,5,5,0.197861,2.176470,-0.982940,0.004491,1.100910,1.105401,2.176470
0.000000,30.000000,point_Q0.000_theta30.000.pkl,-3614.371511,11,11,0.004641,1.112383,239.690220,0.004155,0.995845,1.999382,1.999382,2.009382,2.002715,0.010000,1.999382,2.009382,1.007398,0.890559,2.082099,0.017662,1,5,5,0.206849,2.275342,-0.986409,0.004641,1.112383,1.117024,2.275342
0.100000,0.000000,point_Q0.100_theta0.000.pkl,-3614.621403,11,11,0.011549,1.167090,101.057857,0.009798,0.990202,1.999947,1.999947,2.009947,2.003280,0.010000,1.999947,2.009947,1.009827,0.875197,2.083002,0.017905,1,5,5,0.233933,2.573262,-0.939501,0.011549,1.167090,1.178638,2.573262
0.100000,7.500000,point_Q0.100_theta7.500.pkl,-3614.604147,11,11,0.012197,1.198062,98.223111,0.010078,0.989922,1.999974,1.999974,2.009974,2.003308,0.010000,1.999974,2.009974,1.006119,0.867354,2.009286,0.018252,1,5,5,0.247659,2.724253,-0.940962,0.012197,1.198062,1.210260,2.724253
